logic_accuracy,logic_time,questions_attempted,logical_errors,logic_risk
0.96,2.1,10,0,0
0.95,2.2,10,0,0
0.94,2.3,10,0,0
0.93,2.4,10,1,0
0.92,2.5,10,1,0
0.91,2.6,12,1,0
0.9,2.7,12,1,0
0.89,2.8,12,1,0
0.88,2.9,12,2,0
0.87,3.0,12,2,0
0.86,3.1,12,2,0
0.85,3.2,14,2,0
0.84,3.3,14,2,0
0.83,3.4,14,3,0
0.82,3.5,14,3,0
0.81,3.6,14,3,0
0.8,3.7,16,3,0
0.79,3.8,16,3,1
0.78,3.9,16,4,1
0.77,4.0,16,4,1
0.76,4.1,16,4,1
0.75,4.2,18,4,1
0.74,4.3,18,5,1
0.73,4.4,18,5,1
0.72,4.5,18,5,1
0.71,4.6,18,5,1
0.7,4.7,20,5,1
0.69,4.8,20,6,1
0.68,4.9,20,6,1
0.67,5.0,20,6,1
0.66,5.1,20,6,1
0.65,5.2,22,6,1
0.64,5.3,22,7,1
0.63,5.4,22,7,1
0.62,5.5,22,7,1
0.61,5.6,22,7,1
0.6,5.7,24,7,1
0.59,5.8,24,8,1
0.58,5.9,24,8,1
0.57,6.0,24,8,1
0.56,6.1,24,8,1
0.55,6.2,26,8,1
0.54,6.3,26,9,1
0.53,6.4,26,9,1
0.52,6.5,26,9,1
0.51,6.6,26,9,1
0.5,6.7,28,9,1
0.49,6.8,28,10,1
0.48,6.9,28,10,1
0.47,7.0,28,10,1
0.46,7.1,28,10,1
0.45,7.2,30,10,1
0.44,7.3,30,11,1
0.43,7.4,30,11,1
0.42,7.5,30,11,1
0.41,7.6,30,11,1
0.4,7.7,32,11,1
0.39,7.8,32,12,1
0.38,7.9,32,12,1
0.37,8.0,32,12,1
0.36,8.1,32,12,1
0.35,8.2,34,12,1
0.34,8.3,34,13,1
0.33,8.4,34,13,1
0.32,8.5,34,13,1
0.31,8.6,34,13,1
0.3,8.7,36,13,1
0.29,8.8,36,14,1
0.28,8.9,36,14,1
0.27,9.0,36,14,1
0.26,9.1,36,14,1
0.25,9.2,38,14,1
0.24,9.3,38,15,1
0.23,9.4,38,15,1
0.22,9.5,38,15,1
0.21,9.6,38,15,1
0.2,9.7,40,15,1
0.19,9.8,40,16,1
0.18,9.9,40,16,1
0.17,10.0,40,16,1
0.16,10.1,40,16,1
0.15,10.2,42,16,1
