recall_accuracy,response_time,sequence_length,error_count,memory_risk
0.97,1.6,4,0,0
0.96,1.7,4,0,0
0.95,1.8,4,0,0
0.94,1.9,4,0,0
0.93,2,5,0,0
0.92,2.1,5,0,0
0.91,2.2,5,1,0
0.9,2.3,5,1,0
0.89,2.4,5,1,0
0.88,2.5,6,1,0
0.87,2.6,6,1,0
0.86,2.7,6,2,0
0.85,2.8,6,2,0
0.84,2.9,6,2,0
0.83,3,6,2,0
0.82,3.1,7,2,0
0.81,3.2,7,3,0
0.8,3.3,7,3,0
0.79,3.4,7,3,0
0.78,3.5,7,3,1
0.77,3.6,7,3,1
0.76,3.7,7,4,1
0.75,3.8,7,4,1
0.74,3.9,8,4,1
0.73,4,8,4,1
0.72,4.1,8,4,1
0.71,4.2,8,5,1
0.7,4.3,8,5,1
0.69,4.4,8,5,1
0.68,4.5,8,5,1
0.67,4.6,9,5,1
0.66,4.7,9,5,1
0.65,4.8,9,6,1
0.64,4.9,9,6,1
0.63,5,9,6,1
0.62,5.1,9,6,1
0.61,5.2,9,6,1
0.6,5.3,9,6,1
0.59,5.4,10,6,1
0.58,5.5,10,6,1
0.57,5.6,10,7,1
0.56,5.7,10,7,1
0.55,5.8,10,7,1
0.54,5.9,10,7,1
0.53,6,10,7,1
0.52,6.1,10,7,1
0.51,6.2,10,7,1
0.5,6.3,10,8,1
0.49,6.4,10,8,1
0.48,6.5,10,8,1
0.47,6.6,10,8,1
0.46,6.7,10,8,1
0.45,6.8,10,8,1
0.44,6.9,10,9,1
0.43,7,10,9,1
0.42,7.1,10,9,1
0.41,7.2,10,9,1
0.4,7.3,10,9,1
0.39,7.4,10,9,1
0.38,7.5,10,10,1
0.37,7.6,10,10,1
0.36,7.7,10,10,1
0.35,7.8,10,10,1
0.34,7.9,10,10,1
0.33,8,10,10,1
0.32,8.1,10,11,1
0.31,8.2,10,11,1
0.3,8.3,10,11,1
0.29,8.4,10,11,1
0.28,8.5,10,11,1
0.27,8.6,10,11,1
0.26,8.7,10,12,1
0.25,8.8,10,12,1
0.24,8.9,10,12,1
0.23,9,10,12,1
0.22,9.1,10,12,1
0.21,9.2,10,12,1
0.2,9.3,10,13,1
0.19,9.4,10,13,1
0.18,9.5,10,13,1
0.17,9.6,10,13,1
0.16,9.7,10,13,1
0.15,9.8,10,13,1
0.14,9.9,10,14,1
0.13,10,10,14,1
0.12,10.1,10,14,1
0.11,10.2,10,14,1
0.1,10.3,10,14,1
