mem_score,mem_risk,mem_conf,logic_score,logic_risk,logic_conf,read_score,read_risk,read_conf,write_score,write_risk,write_conf,overall_risk
0.384,1,0.616,0.196,1,0.804,0.348,1,0.652,0.388,1,0.612,1
0.5,0,0.5,0.76,0,0.24,0.393,1,0.607,0.601,0,0.399,0
0.381,1,0.619,0.878,0,0.122,0.235,1,0.765,0.384,1,0.616,1
0.686,0,0.314,0.968,0,0.032,0.489,1,0.511,0.323,1,0.677,1
0.097,1,0.903,0.679,0,0.321,0.251,1,0.749,0.293,1,0.707,1
0.758,0,0.242,0.507,0,0.493,0.585,0,0.415,0.428,1,0.572,0
0.242,1,0.758,0.122,1,0.878,0.541,0,0.459,0.095,1,0.905,1
0.632,0,0.368,0.432,1,0.568,0.204,1,0.796,0.085,1,0.915,1
0.567,0,0.433,0.445,1,0.555,0.3,1,0.7,0.465,1,0.535,1
0.28,1,0.72,0.265,1,0.735,0.307,1,0.693,0.117,1,0.883,1
0.153,1,0.847,0.411,1,0.589,0.796,0,0.204,0.451,1,0.549,1
0.804,0,0.196,0.619,0,0.381,0.437,1,0.563,0.706,0,0.294,0
0.403,1,0.597,0.675,0,0.325,0.263,1,0.737,0.756,0,0.244,1
0.462,1,0.538,0.269,1,0.731,0.36,1,0.64,0.332,1,0.668,1
0.751,0,0.249,0.302,1,0.698,0.313,1,0.687,0.355,1,0.645,1
0.365,1,0.635,0.831,0,0.169,0.211,1,0.789,0.237,1,0.763,1
0.734,0,0.266,0.445,1,0.555,0.758,0,0.242,0.305,1,0.695,1
0.485,1,0.515,0.64,0,0.36,0.604,0,0.396,0.75,0,0.25,0
0.618,0,0.382,0.201,1,0.799,0.193,1,0.807,0.674,0,0.326,1
0.562,0,0.438,0.761,0,0.239,0.389,1,0.611,0.4,1,0.6,1
0.582,0,0.418,0.274,1,0.726,0.913,0,0.087,0.054,1,0.946,1
0.307,1,0.693,0.119,1,0.881,0.879,0,0.121,0.056,1,0.944,1
0.74,0,0.26,0.623,0,0.377,0.561,0,0.439,0.352,1,0.648,0
0.424,1,0.576,0.539,0,0.461,0.431,1,0.569,0.626,0,0.374,1
0.608,0,0.392,0.438,1,0.562,0.67,0,0.33,0.679,0,0.321,0
0.571,0,0.429,0.46,1,0.54,0.541,0,0.459,0.681,0,0.319,0
0.403,1,0.597,0.846,0,0.154,0.71,0,0.29,0.753,0,0.247,0
0.645,0,0.355,0.626,0,0.374,0.492,1,0.508,0.114,1,0.886,1
0.583,0,0.417,0.254,1,0.746,0.89,0,0.11,0.652,0,0.348,0
0.494,1,0.506,0.527,0,0.473,0.338,1,0.662,0.621,0,0.379,1
0.735,0,0.265,0.164,1,0.836,0.454,1,0.546,0.142,1,0.858,1
0.605,0,0.395,0.309,1,0.691,0.379,1,0.621,0.889,0,0.111,1
0.437,1,0.563,0.604,0,0.396,0.877,0,0.123,0.34,1,0.66,1
0.884,0,0.116,0.661,0,0.339,0.604,0,0.396,0.646,0,0.354,0
0.807,0,0.193,0.796,0,0.204,0.163,1,0.837,0.5,0,0.5,0
0.593,0,0.407,0.79,0,0.21,0.55,0,0.45,0.176,1,0.824,0
0.439,1,0.561,0.529,0,0.471,0.288,1,0.712,0.767,0,0.233,1
0.093,1,0.907,0.559,0,0.441,0.495,1,0.505,0.673,0,0.327,1
0.602,0,0.398,0.551,0,0.449,0.67,0,0.33,0.809,0,0.191,0
0.83,0,0.17,0.299,1,0.701,0.061,1,0.939,0.317,1,0.683,1
0.861,0,0.139,0.461,1,0.539,0.362,1,0.638,0.65,0,0.35,1
0.603,0,0.397,0.289,1,0.711,0.127,1,0.873,0.126,1,0.874,1
0.152,1,0.848,0.476,1,0.524,0.731,0,0.269,0.623,0,0.377,1
0.852,0,0.148,0.533,0,0.467,0.82,0,0.18,0.358,1,0.642,0
0.588,0,0.412,0.504,0,0.496,0.354,1,0.646,0.802,0,0.198,0
0.461,1,0.539,0.635,0,0.365,0.448,1,0.552,0.459,1,0.541,1
0.68,0,0.32,0.16,1,0.84,0.522,0,0.478,0.369,1,0.631,1
0.304,1,0.696,0.629,0,0.371,0.338,1,0.662,0.557,0,0.443,1
0.303,1,0.697,0.404,1,0.596,0.577,0,0.423,0.618,0,0.382,1
0.806,0,0.194,0.661,0,0.339,0.697,0,0.303,0.525,0,0.475,0
0.41,1,0.59,0.172,1,0.828,0.742,0,0.258,0.769,0,0.231,1
0.389,1,0.611,0.792,0,0.208,0.464,1,0.536,0.419,1,0.581,1
0.578,0,0.422,0.717,0,0.283,0.723,0,0.277,0.453,1,0.547,0
0.72,0,0.28,0.322,1,0.678,0.212,1,0.788,0.96,0,0.04,1
0.232,1,0.768,0.455,1,0.545,0.337,1,0.663,0.411,1,0.589,1
0.79,0,0.21,0.633,0,0.367,0.295,1,0.705,0.43,1,0.57,1
0.665,0,0.335,0.355,1,0.645,0.186,1,0.814,0.35,1,0.65,1
0.401,1,0.599,0.54,0,0.46,0.39,1,0.61,0.601,0,0.399,1
0.321,1,0.679,0.614,0,0.386,0.633,0,0.367,0.41,1,0.59,1
0.21,1,0.79,0.605,0,0.395,0.778,0,0.222,0.822,0,0.178,0
0.71,0,0.29,0.242,1,0.758,0.485,1,0.515,0.215,1,0.785,1
0.251,1,0.749,0.357,1,0.643,0.761,0,0.239,0.417,1,0.583,1
0.496,1,0.504,0.376,1,0.624,0.714,0,0.286,0.548,0,0.452,1
0.5,1,0.5,0.489,1,0.511,0.782,0,0.218,0.63,0,0.37,1
0.571,0,0.429,0.533,0,0.467,0.342,1,0.658,0.427,1,0.573,1
0.243,1,0.757,0.677,0,0.323,0.602,0,0.398,0.347,1,0.653,1
0.831,0,0.169,0.205,1,0.795,0.5,1,0.5,0.754,0,0.246,1
0.83,0,0.17,0.806,0,0.194,0.723,0,0.277,0.207,1,0.793,0
0.205,1,0.795,0.86,0,0.14,0.647,0,0.353,0.474,1,0.526,1
0.389,1,0.611,0.367,1,0.633,0.328,1,0.672,0.559,0,0.441,1
0.159,1,0.841,0.598,0,0.402,0.837,0,0.163,0.859,0,0.141,0
0.304,1,0.696,0.193,1,0.807,0.333,1,0.667,0.164,1,0.836,1
0.613,0,0.387,0.333,1,0.667,0.255,1,0.745,0.554,0,0.446,1
0.269,1,0.731,0.531,0,0.469,0.356,1,0.644,0.463,1,0.537,1
0.348,1,0.652,0.324,1,0.676,0.693,0,0.307,0.518,0,0.482,1
0.662,0,0.338,0.253,1,0.747,0.595,0,0.405,0.868,0,0.132,0
0.535,0,0.465,0.26,1,0.74,0.721,0,0.279,0.262,1,0.738,1
0.717,0,0.283,0.553,0,0.447,0.579,0,0.421,0.47,1,0.53,0
0.187,1,0.813,0.837,0,0.163,0.432,1,0.568,0.665,0,0.335,1
0.08,1,0.92,0.971,0,0.029,0.391,1,0.609,0.449,1,0.551,1
0.088,1,0.912,0.236,1,0.764,0.413,1,0.587,0.649,0,0.351,1
0.771,0,0.229,0.509,0,0.491,0.64,0,0.36,0.522,0,0.478,0
0.409,1,0.591,0.709,0,0.291,0.707,0,0.293,0.363,1,0.637,1
0.101,1,0.899,0.446,1,0.554,0.219,1,0.781,0.661,0,0.339,1
0.633,0,0.367,0.421,1,0.579,0.385,1,0.615,0.495,1,0.505,1
0.324,1,0.676,0.437,1,0.563,0.235,1,0.765,0.181,1,0.819,1
